#chrom	cisChromContactsFraction	transChromContactsFraction
TSA chr1 0.457085 0.542915 A
TSA chr2 0.42627 0.57373 A
TSA chr3 0.446508 0.553492 A
TSA chr4 0.406996 0.593004 A
TSA chr5 0.406437 0.593563 A
TSA chr6 0.429827 0.570173 A
TSA chr7 0.406999 0.593001 A
TSA chr8 0.413103 0.586897 A
TSA chr9 0.402406 0.597594 A
TSA chr10 0.421024 0.578976 A
TSA chr11 0.384934 0.615066 A
TSA chr12 0.410975 0.589025 A
TSA chr13 0.420649 0.579351 A
TSA chr14 0.412677 0.587323 A
TSA chr15 0.390335 0.609665 A
TSA chr16 0.405162 0.594838 A
TSA chr17 0.381008 0.618992 A
TSA chr18 0.407534 0.592466 A
TSA chr19 0.35844 0.64156 A
TSA chr1 0.635136 0.364864 B
TSA chr2 0.61256 0.38744 B
TSA chr3 0.625374 0.374626 B
TSA chr4 0.597647 0.402353 B
TSA chr5 0.595233 0.404767 B
TSA chr6 0.611225 0.388775 B
TSA chr7 0.567715 0.432285 B
TSA chr8 0.591634 0.408366 B
TSA chr9 0.575055 0.424945 B
TSA chr10 0.596742 0.403258 B
TSA chr11 0.547663 0.452337 B
TSA chr12 0.603041 0.396959 B
TSA chr13 0.57715 0.42285 B
TSA chr14 0.605554 0.394446 B
TSA chr15 0.577786 0.422214 B
TSA chr16 0.599622 0.400378 B
TSA chr17 0.55872 0.44128 B
TSA chr18 0.575062 0.424938 B
TSA chr19 0.523426 0.476574 B
