#chrom	cisChromContactsFraction	transChromContactsFraction
TSA chr1 0.542986 0.457014
TSA chr2 0.518615 0.481385
TSA chr3 0.545789 0.454211
TSA chr4 0.500656 0.499344
TSA chr5 0.496082 0.503918
TSA chr6 0.521436 0.478564
TSA chr7 0.482562 0.517438
TSA chr8 0.497421 0.502579
TSA chr9 0.482159 0.517841
TSA chr10 0.511818 0.488182
TSA chr11 0.458555 0.541445
TSA chr12 0.510722 0.489278
TSA chr13 0.497061 0.502939
TSA chr14 0.511328 0.488672
TSA chr15 0.496098 0.503902
TSA chr16 0.515028 0.484972
TSA chr17 0.476315 0.523685
TSA chr18 0.498707 0.501293
TSA chr19 0.443156 0.556844
