#chrom	cisChromContactsFraction	transChromContactsFraction
DMSO chr1 0.775518 0.224482
DMSO chr2 0.752479 0.247521
DMSO chr3 0.775523 0.224477
DMSO chr4 0.738759 0.261241
DMSO chr5 0.733322 0.266678
DMSO chr6 0.755615 0.244385
DMSO chr7 0.72705 0.27295
DMSO chr8 0.741065 0.258935
DMSO chr9 0.72384 0.27616
DMSO chr10 0.751241 0.248759
DMSO chr11 0.699444 0.300556
DMSO chr12 0.744949 0.255051
DMSO chr13 0.743349 0.256651
DMSO chr14 0.747029 0.252971
DMSO chr15 0.731079 0.268921
DMSO chr16 0.740863 0.259137
DMSO chr17 0.714933 0.285067
DMSO chr18 0.736958 0.263042
DMSO chr19 0.68415 0.31585
